Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,6.584300000000002,5.7371021297050895,87.13306091315839,
2,Glca-Sp8,10.406074999999998,5.267296334537622,50.617512698472986,
3,Mana-Sp8,195.38967499999998,235.53019199062882,120.54382709353952,
4,GalNAca-Sp8,7267.3010749999985,1802.076555132157,24.797053769127864,
5,GalNAca-Sp15,2622.671975,194.8107539153056,7.427949654866984,
6,Fuca-Sp8,21.317325,5.092008506391809,23.886714240139458,
7,Fuca-Sp9,-20.391875,13.578435661586106,-66.58747987414647,
8,Rhaa-Sp8,18.30875,5.863873091794063,32.02770856445177,
9,Neu5Aca-Sp8,6.991950000000001,3.3410606285030666,47.784389598081596,
10,Neu5Aca-Sp11,13.669149999999998,8.820621446171847,64.52940706753418,
11,Neu5Acb-Sp8,17.980224999999997,16.64946228068142,92.59874267803335,
12,Galb-Sp8,11.997775,2.88584441758386,24.053163337234277,
13,Glcb-Sp8,10.0827,12.834173296061323,127.28905249646742,
14,Manb-Sp8,3.291875,5.973789737051347,181.47073437027066,
15,GalNAcb-Sp8,4277.926650000001,187.92452816796282,4.3928880400032755,
16,GlcNAcb-Sp0,14.064975,9.57466373521807,68.07451655774767,
17,GlcNAcb-Sp8,-18.777924999999996,7.11183023905709,-37.87335522459,
18,GlcN(Gc)b-Sp8,-399.35935,461.4648200933594,-115.55127483389569,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-3.8029249999999992,9.237061611925087,-242.89360457871476,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,41.541574999999995,10.985943889466196,26.44566049666195,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,7.10595,5.49897019237845,77.38543322678107,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,20.959375,7.169590035873737,34.207079342173785,
23,6S(3S)Galb1-4GlcNAcb-Sp0,27.51905,12.070333348199899,43.86173704470139,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,14.435399999999998,8.393685993253113,58.14654248065945,
25,(3S)Galb1-4Glcb-Sp8,9.594524999999997,2.7102202092265606,28.247570455301968,
26,(3S)Galb1-4(6S)Glcb-Sp0,12.056474999999997,7.77415244142408,64.48113931662515,
27,(3S)Galb1-4(6S)Glcb-Sp8,5.634375,7.945106022944778,141.01131044605262,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,6.4293,5.04895634826314,78.5304208586182,
29,(3S)Galb1-3GalNAca-Sp8,10.039725,3.1946194717315954,31.819790599160786,
30,(3S)Galb1-3GlcNAcb-Sp0,-27.433325,6.241516892217263,-22.751587320229184,
31,(3S)Galb1-3GlcNAcb-Sp8,-725.331075,143.5733126576662,-19.794176425939863,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,4.1708500000000015,2.140169452013854,51.312549049087195,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,10.1419,3.1210036046118215,30.773362038787816,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,-8.3611,5.969137756828878,-71.3917756853629,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,17.4677,15.967757115094988,91.41304874193504,
36,(3S)Galb1-4GlcNAcb-Sp0,8.55965,7.709844893597615,90.07196431627013,
37,(3S)Galb1-4GlcNAcb-Sp8,9.864049999999999,7.59973683118918,77.04479226270325,
38,(3S)Galb-Sp8,5.242125,9.365725532448977,178.66276619594112,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,2.5127999999999986,10.160386220349434,404.34520138289713,
40,(4S)Galb1-4GlcNAcb-Sp8,5.552,4.65480968819708,83.84023213611455,
41,(6P)Mana-Sp8,3.7150750000000006,3.8848864044954188,104.57087419487947,
42,(6S)Galb1-4Glcb-Sp0,15.618200000000002,8.43927136546753,54.03485270689023,
43,(6S)Galb1-4Glcb-Sp8,15.984974999999999,6.419541373221303,40.15984618819425,
44,(6S)Galb1-4GlcNAcb-Sp8,5.965774999999999,9.672065550982378,162.12588558875217,
45,(6S)Galb1-4(6S)Glcb-Sp8,14.610900000000004,11.974394697854247,81.95521629642421,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,0.8632249999999999,4.956136872185171,574.1419528147553,
47,(6S)GlcNAcb-Sp8,1.544925000000001,9.468044177609586,612.8481432826565,
48,"Neu5,9Ac2a-Sp8",10.038499999999997,6.054599156013555,60.31378349368488,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",6.495999999999995,7.946835715343497,122.33429364752931,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1.525625,2.7699536185948452,181.5618922471017,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,3.453575,8.089407426330231,234.23285801901602,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,6.6174,5.398487359128172,81.58018797606572,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,10.436,10.849395353351877,103.96124332456762,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,12.698474999999998,10.8930364638378,85.7822412836014,
