glycan,binding,rfu
Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,1,25875.052675
Gala1-3(Fuca1-2)Galb-Sp8,0,10.595074999999998
Gala1-3(Fuca1-2)Galb-Sp18,0,12.983950000000002
Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,1,34221.593225
Gala1-3GalNAca-Sp8,0,26.981600000000004
Gala1-3GalNAcb-Sp8,0,5.043400000000002
Gala1-3Galb1-3GlcNAcb-Sp0,0,41.076425000000015
Gala1-3Galb1-4GlcNAcb-Sp8,1,4812.500825000001
Gala1-3Galb1-4Glcb-Sp0,0,12.606175000000002
Gala1-3Galb1-4Glc-Sp10,0,13.865850000000005
Gala1-3Galb-Sp8,0,16.59545
Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,1,27268.89582500001
Gala1-4Galb1-4GlcNAcb-Sp0,1,13507.3219
Gala1-4Galb1-4GlcNAcb-Sp8,1,16993.482175
Gala1-4Galb1-4Glcb-Sp0,0,15.943500000000002
Gala1-4GlcNAcb-Sp8,0,19.196524999999994
Gala1-6Glcb-Sp8,0,23.69717499999999
Galb1-2Galb-Sp8,0,50.4763
Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,15.544049999999995
Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,6.307275000000002
Galb1-3(Fuca1-4)GlcNAc-Sp0,0,28.32735000000001
Galb1-3(Fuca1-4)GlcNAc-Sp8,0,5.690125
Fuca1-4(Galb1-3)GlcNAcb-Sp8,0,3.57315
Galb1-4GlcNAcb1-6GalNAca-Sp8,1,32015.862025
Galb1-4GlcNAcb1-6GalNAc-Sp14,0,15.436225000000006
GlcNAcb1-6(Galb1-3)GalNAca-Sp8,1,6339.850100000002
GlcNAcb1-6(Galb1-3)GalNAca-Sp14,0,6.961300000000001
Neu5Aca2-6(Galb1-3)GalNAca-Sp8,0,-0.6883999999999997
Neu5Aca2-6(Galb1-3)GalNAca-Sp14,0,6.528050000000002
Neu5Acb2-6(Galb1-3)GalNAca-Sp8,0,4.227550000000001
Neu5Aca2-6(Galb1-3)GlcNAcb1-4Galb1-4Glcb-Sp10,0,19.112900000000003
Galb1-3GalNAca-Sp8,0,13.379149999999996
Galb1-3GalNAca-Sp14,0,8.832674999999998
Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,0,31.3929
Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,0,7.526300000000001
Galb1-3GalNAcb1-4Galb1-4Glcb-Sp8,0,30.114925
Galb1-3Galb-Sp8,0,12.6041
Galb1-3GlcNAcb-Sp0,0,20.35555
Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,11.028700000000002
Galb1-4(Fuca1-3)GlcNAcb-Sp8,0,6.7984500000000025
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,76.45935
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,10.784275
Galb1-4(6S)Glcb-Sp0,0,18.935975
Galb1-4(6S)Glcb-Sp8,0,30.932450000000006
Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,1,14208.782
Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,9.4564
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1,3414.923275
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1,8318.96165
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,0,7.555875000000002
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,0,19.197475
Galb1-4GlcNAcb1-6(Galb1-3)GalNAc-Sp14,0,7.291875
Galb1-4GlcNAcb-Sp0,1,12226.139025
Galb1-4GlcNAcb-Sp23,1,3625.147724999999
Galb1-4Glcb-Sp0,0,10.31575
Galb1-4Glcb-Sp8,0,9.082125
GlcNAca1-3Galb1-4GlcNAcb-Sp8,1,32060.8388
GlcNAca1-6Galb1-4GlcNAcb-Sp8,1,4147.257525
GlcNAcb1-2Galb1-3GalNAca-Sp8,1,15773.759125000002
GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp8,1,11459.479275000003
GlcNAcb1-3GalNAca-Sp8,0,22.074575
GlcNAcb1-3GalNAca-Sp14,0,14.376700000000005
GlcNAcb1-3Galb-Sp8,0,106.13152500000002
GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1,29162.386600000005
GlcNAcb1-3Galb1-4GlcNAcb-Sp8,1,14547.697775
GlcNAcb1-4-MDPLys,1,23223.6889
GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,1,24152.487325
GlcNAcb1-6GalNAca-Sp8,1,29109.480625
GlcNAcb1-6GalNAca-Sp14,0,50.3075
GlcNAcb1-6Galb1-4GlcNAcb-Sp8,1,32057.607400000004
Glca1-4Glca-Sp8,0,6.007225
Glca1-6Glca1-6Glcb-Sp8,0,17.685575
Glcb1-4Glcb-Sp8,0,26.58745
Glcb1-6Glcb-Sp8,0,15.061075
G-ol-Sp8,0,18.437475000000006
GlcAa-Sp8,0,5.4378249999999975
GlcAb-Sp8,0,51.28125
KDNa2-3Galb1-3GlcNAcb-Sp0,0,9.48655
KDNa2-3Galb1-4GlcNAcb-Sp0,0,44.93729999999999
Mana1-2Mana1-2Mana1-3Mana-Sp9,0,17.265049999999995
Mana1-2Mana1-6(Mana1-2Mana1-3)Mana-Sp9,0,8.012174999999997
Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,11.1532
Mana1-2Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,1.8631749999999947
Mana1-6(Mana1-3)Mana-Sp9,0,5.361899999999997
Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,289.527325
Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,24.78495
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,5.014249999999999
Fuca1-2(6S)Galb1-4GlcNAcb-Sp0,0,8.576949999999998
Fuca1-2Galb1-4(6S)GlcNAcb-Sp8,1,2888.5182000000004
Fuca1-2(6S)Galb1-4(6S)Glcb-Sp0,0,19.686550000000004
Neu5Aca2-3Galb1-3GalNAca-Sp8,0,120.3051
Neu5Aca2-3Galb1-3GalNAca-Sp14,0,-4.616774999999999
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,0,14.903975
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,0,43.19859999999999
Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,0,2.8866
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,0,13.76405
Neu5Aca2-8Neu5Aca2-8Neu5Aca-Sp8,0,13.474575000000005
Neu5Aca2-3(6S)Galb1-4(Fuca1-3)GlcNAcb-Sp8,0,7.949375
GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb-Sp0,0,7.496024999999999
GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,0,6.924624999999998
Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,0,2.65252499999999
Neu5Aca2-6(Neu5Aca2-3)GalNAca-Sp8,0,17.073974999999994
Neu5Aca2-3GalNAca-Sp8,0,0.05197500000000055
Neu5Aca2-3Galb1-3(6S)GlcNAc-Sp8,0,78.403075
Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp8,0,34.6443
Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,176.71122499999996
Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,0,274.8919
Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,0,23.518075
Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1,24321.116175000006
Fuca1-2(6S)Galb1-4Glcb-Sp0,0,14.942175
Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,1,10308.619975
Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,0,6.209425
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,7.875449999999999
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,-2.246875
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,0,158.35165000000003
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb-Sp8,0,9.045975
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4GlcNAcb-Sp8,1,10430.7432
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1,31541.414600000004
Neu5Aca2-3Galb1-4GlcNAcb-Sp8,1,16423.438400000006
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1,20767.937575
Fuca1-2Galb1-4(6S)Glcb-Sp0,0,11.896575000000002
Neu5Aca2-3Galb1-4Glcb-Sp0,0,15.967525
Neu5Aca2-3Galb1-4Glcb-Sp8,0,12.254475
Neu5Aca2-6GalNAcb1-4GlcNAcb-Sp0,1,30694.118525000005
Neu5Aca2-6Galb1-4(6S)GlcNAcb-Sp8,0,20.623400000000004
Neu5Aca2-6Galb1-4GlcNAcb-Sp0,0,18.713025
Neu5Aca2-6Galb1-4GlcNAcb-Sp8,0,3.494349999999999
Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1,2733.7004499999994
Neu5Aca2-6Galb-Sp8,0,44.813325000000006
Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,0,-1.04045
Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,0,7.08925
Neu5Acb2-6Galb1-4GlcNAcb-Sp8,0,7.482949999999999
Neu5Gca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,0,7.149300000000002
Neu5Gca2-3Galb1-3GlcNAcb-Sp0,0,18.755750000000006
Neu5Gca2-3Galb1-4Glcb-Sp0,0,8.919524999999998
Neu5Gca2-6Galb1-4GlcNAcb-Sp0,0,6.781075
Neu5Gca-Sp8,0,18.19825
Neu5Aca2-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,0,50.74242500000001
Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0,0,4.149850000000002
Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp0,0,23.494525
Galb1-4(Fuca1-3)(6S)Glcb-Sp0,0,16.666699999999985
