83,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0
84,GalNAca1-3(Fuca1-2)Galb-Sp8
85,GalNAca1-3GalNAcb-Sp8
86,GalNAca1-3Galb-Sp8
87,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8
88,GalNAcb1-3GalNAca-Sp8
89,GalNAcb1-3(Fuca1-2)Galb-Sp8
90,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0
91,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0
92,GalNAcb1-4GlcNAcb-Sp0
93,GalNAcb1-4GlcNAcb-Sp8
94,Gala1-2Galb-Sp8
95,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0
96,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0
97,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0
98,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0
99,Gala1-3(Fuca1-2)Galb-Sp8
100,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8
101,Gala1-3GalNAca-Sp8
102,Gala1-3GalNAcb-Sp8
103,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8
104,Gala1-3Galb1-3GlcNAcb-Sp0
105,Gala1-3Galb1-4GlcNAcb-Sp8
106,Gala1-3Galb1-4Glcb-Sp0
107,Gala1-3Galb-Sp8
108,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8
109,Gala1-4Galb1-4GlcNAcb-Sp0
110,Gala1-4Galb1-4GlcNAcb-Sp8
111,Gala1-4Galb1-4Glcb-Sp0
112,Gala1-4GlcNAcb-Sp8
113,Gala1-6Glcb-Sp8
114,Galb1-2Galb-Sp8
115,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0
116,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4GlcNAcb-Sp0
117,Galb1-3(Fuca1-4)GlcNAc-Sp0
118,Galb1-3(Fuca1-4)GlcNAc-Sp8
119,Galb1-3(Fuca1-4)GlcNAcb-Sp8
120,Galb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8
121,Galb1-3(GlcNAcb1-6)GalNAca-Sp8
122,Galb1-3(Neu5Aca2-6)GalNAca-Sp8
123,Galb1-3(Neu5Acb2-6)GalNAca-Sp8
124,Galb1-3(Neu5Aca2-6)GlcNAcb1-4Galb1-4Glcb-Sp10
125,Galb1-3GalNAca-Sp8
126,Galb1-3GalNAcb-Sp8
127,Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0
128,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0
129,Galb1-3GalNAcb1-4Galb1-4Glcb-Sp8
130,Galb1-3Galb-Sp8
131,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0
132,Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10
133,Galb1-3GlcNAcb-Sp0
134,Galb1-3GlcNAcb-Sp8
135,Galb1-4(Fuca1-3)GlcNAcb-Sp0
136,Galb1-4(Fuca1-3)GlcNAcb-Sp8
137,Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0
138,Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0
139,Galb1-4(6OSO3)Glcb-Sp0
140,Galb1-4(6OSO3)Glcb-Sp8
141,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8
142,Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8
143,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12
144,Galb1-4GlcNAcb1-3GalNAca-Sp8
145,Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0
146,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0
147,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0
148,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0
149,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8
150,Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp8
151,Galb1-4GlcNAcb1-6GalNAca-Sp8
152,Galb1-4GlcNAcb-Sp0
153,Galb1-4GlcNAcb-Sp8
154,Galb1-4Glcb-Sp0
155,Galb1-4Glcb-Sp8
156,GlcNAca1-3Galb1-4GlcNAcb-Sp8
157,GlcNAca1-6Galb1-4GlcNAcb-Sp8
158,GlcNAcb1-2Galb1-3GalNAca-Sp8
159,GlcNAcb1-3(GlcNAcb1-6)GalNAca-Sp8
160,GlcNAcb1-3(GlcNAcb1-6)Galb1-4GlcNAcb-Sp8
161,GlcNAcb1-3GalNAca-Sp8
162,GlcNAcb1-3Galb-Sp8
163,GlcNAcb1-3Galb1-3GalNAca-Sp8
164,GlcNAcb1-3Galb1-4GlcNAcb-Sp0
165,GlcNAcb1-3Galb1-4GlcNAcb-Sp8
166,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0
167,GlcNAcb1-3Galb1-4Glcb-Sp0
168,GlcNAcb1-4MDPLys
169,GlcNAcb1-4(GlcNAcb1-6)GalNAca-Sp8
170,GlcNAcb1-4Galb1-4GlcNAcb-Sp8
171,(GlcNAcb1-4)6b-Sp8
172,(GlcNAcb1-4)5b-Sp8
173,GlcNAcb1-4GlcNAcb1-4GlcNAcb-Sp8
174,GlcNAcb1-6(Galb1-3)GalNAca-Sp8
175,GlcNAcb1-6GalNAca-Sp8
176,GlcNAcb1-6Galb1-4GlcNAcb-Sp8
177,Glca1-4Glcb-Sp8
